"","street","zipcode","price","PublishedDate","buildKind","ConstructionYear","LivingArea","ExStorage","LotArea","Volume","Rooms","Bathrooms","Levels","EnergyLable","Insulation","Heating","Location","Garden","GardenArea","GardenAim","Storage"
"974","
        
              Groeseindstraat 53 02
        
            ","
            5014 LV Tilburg

        ","
    € 200.000 kosten koper
        
            
        
","9-1-2021","
    Bestaande bouw
","
    2007
        
            
        
","
    52 m²
","
    2 m²
,
    8 m²
,
    6 m²
","
    145 m³
","
    145 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    In woonwijk en open ligging
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"975","
        
              Vrouwe Justitiaplein 11
        
            ","
            3511 EX Utrecht

        ","
    € 750.000 kosten koper
        
            
        
","7-12-2020","
    Bestaande bouw
","
    1999
        
            
        
","
    135 m²
","
    14 m²
,
    7 m²
","
    435 m³
","
    435 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas en volledig geïsoleerd
","
    Stadsverwarming
","
    Aan rustige weg, in centrum en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"976","
        
              Vrouwe Justitiaplein 11
        
            ","
            3511 EX Utrecht

        ","
    € 750.000 kosten koper
        
            
        
","7-12-2020","
    Bestaande bouw
","
    1999
        
            
        
","
    135 m²
","
    14 m²
,
    7 m²
","
    435 m³
","
    435 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas en volledig geïsoleerd
","
    Stadsverwarming
","
    Aan rustige weg, in centrum en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"977","
        
              Graaf van Solmsweg 85
        
            ","
            5221 BM Den Bosch

        ","
    € 799.000 kosten koper
        
            
        
","16-10-2020","
    Bestaande bouw
","
    1972
        
            
        
","
    247 m²
","
    18 m²
,
    6 m²
","
    205 m²
","
    205 m²
,
    1.018 m³
","
    6 kamers (3 slaapkamers)
","
    2 badkamers en 2 aparte toiletten
","
    3 woonlagen en een kelder
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel, houtkachel en gedeeltelijke vloerverwarming
","
    Aan water, in woonwijk en vrij uitzicht
","
    Achtertuin en zijtuin
","
    61 m² (12,5 meter diep en 2,5 meter breed)
","
    Gelegen op het zuidoosten
",NA
"978","
        
              Brugstraat 85
        
            ","
            5382 JC Vinkel (Gem. Den Bosch)

        ","
    € 1.045.000 kosten koper
        
            
        
","10-9-2020","
    Bestaande bouw
","
    1720
        
            
        
","
    258 m²
","
    15 m²
,
    147 m²
","
    10.754 m²
","
    10.754 m²
,
    1.027 m³
","
    6 kamers (3 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    2 woonlagen
","
        D
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel, open haard en gedeeltelijke vloerverwarming
","
    Landelijk gelegen, open ligging en vrij uitzicht
","
    Achtertuin
","
    2.400 m² (60 meter diep en 40 meter breed)
","
    Gelegen op het noordoosten bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"979","
        
              Bredaseweg 510
        
            ","
            5036 NB Tilburg

        ","
    Prijs op aanvraag
        
            
        
","24-7-2020","
    Bestaande bouw
","
    1989
        
            
        
","
    335 m²
","","
    94.665 m²
","
    94.665 m²
,
    1.230 m³
","
    7 kamers (5 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    1 woonlaag en een kelder
","
        B
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel en open haard
","
    Aan bosrand, beschutte ligging, in bosrijke omgeving en landelijk gelegen
","
    Tuin rondom
",NA,NA,"
    Carport
"
"980","
        
              Wilhelminastraat 51
        
            ","
            2011 VL Haarlem

        ","
    € 1.875.000 kosten koper
        
            
        
","13-5-2020","
    Bestaande bouw
","
    1884
        
            
        
","
    346 m²
","
    17 m²
,
    1 m²
,
    1 m²
","
    299 m²
","
    299 m²
,
    1.419 m³
","
    11 kamers (6 slaapkamers)
","
    1 badkamer en 3 aparte toiletten
","
    Dakraam
","
Niet verplicht","
    Dakisolatie, dubbel glas en vloerisolatie
","
    Cv-ketel, open haard en gedeeltelijke vloerverwarming
","
    In centrum
","
    Achtertuin
","
    196 m² (21,17 meter diep en 9,24 meter breed)
","
    Gelegen op het zuidoosten bereikbaar via achterom
","
    Parkeervergunningen
"
"981","
        
              Duitlaan 28
        
            ","
            5237 NB Den Bosch

        ","
    € 795.000 kosten koper
        
            
        
","10-3-2017","
    Bestaande bouw
","
    2006
        
            
        
","
    350 m²
","
    22 m²
,
    25 m²
","
    588 m²
","
    588 m²
,
    980 m³
","
    9 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen en een zolder
","
        A
        
             Wat betekent dit?
","
    Dakisolatie en dubbel glas
","
    Cv-ketel, gashaard en gedeeltelijke vloerverwarming
","
    In woonwijk
","
    Achtertuin, voortuin en zijtuin
","
    300 m² (30 meter diep en 10 meter breed)
","
    Gelegen op het westen bereikbaar via achterom
","
    Inpandig
"
"982","
        
              Vughterstraat 222
        
            ","
            5211 GP Den Bosch

        ","
    € 945.000 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    1650
        
            
        
","
    221 m²
","
    31 m²
","
    1.140 m³
","
    1.140 m³
","
    5 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel en gedeeltelijke vloerverwarming
",NA,NA,NA,NA,"
    Ja
"
"983","
        
              Westenburgerweg 374
        
            ","
            5213 ST Den Bosch

        ","
    € 429.500 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    2011
        
            
        
","
    124 m²
","
    8 m²
","
    407 m³
","
    407 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie
","
    Aan park en in woonwijk
","
    Frans balkon aanwezig
",NA,NA,"
    Inpandig
"
"984","
        
              Meester Cornelisstraat 74 rood
        
            ","
            2023 DK Haarlem

        ","
    € 445.000 kosten koper
        
            
        
","13-5-2021","
    Bestaande bouw
","
    1906-1930
        
            
        
","
    86 m²
","
    12 m²
,
    25 m²
","
    310 m³
","
    310 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
        G
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel en open haard
","
    Aan rustige weg en in woonwijk
","
    Dakterras aanwezig en balkon aanwezig
",NA,NA,"
    Inpandig
"
"985","
        
              Europalaan 443
        
            ","
            5042 ZJ Tilburg

        ","
    € 200.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    1961
        
            
        
","
    70 m²
","
    6 m²
,
    8 m²
","
    225 m³
","
    225 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    4 woonlagen
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan bosrand, aan park en aan rustige weg
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"986","
        
              Generaal Joubertstraat 78 zwart
        
            ","
            2021 XD Haarlem

        ","
    € 250.000 kosten koper
        
            
        
","8-5-2021","
    Bestaande bouw
","
    Voor 1906
        
            
        
","
    46 m²
","","
    191 m³
","
    191 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        G
        
             Wat betekent dit?
","
    Dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    Betaald parkeren en parkeervergunningen
",NA,NA,NA,NA
"987","
        
              Korte Geere 20 a
        
            ","
            4331 LE Middelburg

        ","
    € 499.000 kosten koper
        
            
        
","8-5-2021","
    Bestaande bouw
","
    2020
        
            
        
","
    199 m²
","
    8 m²
,
    39 m²
","
    614 m³
","
    614 m³
","
    6 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    In centrum
","
    Zonneterras
",NA,NA,"
    Inpandig
"
"988","
        
              Zandstraat 4 P
        
            ","
            5391 AN Nuland

        ","
    € 189.500 kosten koper
        
            
        
","7-5-2021","
    Bestaande bouw
","
    2016
        
            
        
","
    50 m²
","
    15 m²
,
    5 m²
","
    192 m³
","
    192 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    HR-glas en volledig geïsoleerd
","
    Cv-ketel
","
    Dakterras aanwezig en frans balkon aanwezig
",NA,NA,NA,"
    Vrijstaande stenen berging
"
"989","
        
              Cremerstraat 70
        
            ","
            2032 KR Haarlem

        ","
    € 215.000 kosten koper
        
            
        
","6-5-2021","
    Bestaande bouw
","
    1956
        
            
        
","
    47 m²
","
    5 m²
","
    153 m³
","
    153 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Gaskachels
","
    In woonwijk
","
    Achtertuin
","
    52 m² (9,26 meter diep en 5,61 meter breed)
","
    Gelegen op het zuidwesten bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"990","
        
              Maassingel 186
        
            ","
            5215 GJ Den Bosch

        ","
    € 205.000 kosten koper
        
            
        
","7-5-2021","
    Bestaande bouw
","
    1962
        
            
        
","
    62 m²
","
    3 m²
,
    8 m²
","
    180 m³
","
    180 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer
","
    1 woonlaag
","
        E
        
             Wat betekent dit?
","
    Dakisolatie, gedeeltelijk dubbel glas en muurisolatie
","
    Blokverwarming
","
    In woonwijk en vrij uitzicht
",NA,NA,NA,"
    Inpandig
"
"991","
        
              Straussplein 18
        
            ","
            8031 AC Zwolle

        ","
    € 185.000 kosten koper
        
            
        
","5-5-2021","
    Bestaande bouw
","
    1970
        
            
        
","
    54 m²
","
    7 m²
,
    4 m²
","
    155 m³
","
    155 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Blokverwarming
","
    In woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
